CaseID,Activity,CompleteTimestamp
64,C,2011-05-06 17:42:28
66,A,2012-06-26 16:46:53
66,B,2012-06-26 16:47:39
66,C,2012-06-26 21:05:58
67,A,2010-12-31 00:03:15
67,B,2011-01-11 17:40:08
67,C,2011-01-13 20:45:18
68,A,2012-04-11 22:09:22
68,B,2012-04-11 22:09:45
68,C,2012-04-12 18:31:37
70,A,2011-06-07 15:34:53
70,B,2011-06-07 15:35:14
70,E,2011-07-08 16:44:58
70,C,2011-07-12 15:00:36
71,A,2011-11-02 17:20:14
71,B,2011-11-02 17:20:41
71,C,2011-11-02 18:49:41
72,A,2011-01-25 22:15:31
72,B,2011-01-25 22:15:58
72,C,2011-02-14 20:48:42
73,A,2012-07-31 19:01:15
73,C,2012-07-31 19:02:02
74,C,2012-02-10 20:42:26
75,A,2010-03-12 00:15:54
75,A,2010-04-23 15:44:51
75,B,2010-04-23 15:44:59
75,C,2010-04-23 15:45:04
76,A,2012-01-11 00:01:36
76,C,2012-01-11 00:58:08
78,A,2011-11-08 18:18:10
78,B,2011-11-08 18:22:35
78,C,2011-12-06 01:33:12
80,A,2012-08-02 17:22:58
80,B,2012-08-03 20:12:15
80,C,2012-08-10 18:13:48
81,A,2010-02-09 17:31:47
81,B,2010-02-09 17:35:12
81,E,2010-02-09 17:35:26
81,E,2010-02-09 17:36:27
81,B,2010-02-19 17:31:40
81,C,2010-02-19 17:32:00
84,A,2010-12-10 18:15:54
84,B,2010-12-10 18:16:17
84,C,2010-12-10 18:16:34
85,A,2011-02-25 02:01:50
85,B,2011-02-25 02:03:45
85,C,2011-03-04 19:02:13
86,A,2012-06-13 00:12:48
86,B,2012-06-15 15:27:33
86,E,2012-06-15 18:00:52
86,C,2012-06-18 17:42:02
87,A,2011-11-14 23:35:55
87,B,2011-11-18 01:58:30
87,E,2011-11-18 01:59:03
87,C,2011-11-25 18:30:07
87,B,2011-11-28 22:50:35
87,E,2011-11-28 22:59:00
87,C,2011-12-07 22:41:18
88,A,2010-09-24 15:57:49
88,A,2010-09-24 21:43:51
88,E,2010-09-24 21:44:52
88,B,2010-10-04 18:48:54
88,C,2010-10-04 18:49:08
90,A,2010-03-16 16:59:03
90,B,2010-03-17 18:02:03
90,C,2010-03-17 18:49:51
91,A,2011-05-24 20:51:35
91,B,2011-05-24 20:52:07
91,C,2011-05-24 21:36:11
92,A,2010-03-09 19:09:33
92,B,2010-03-09 19:09:44
92,C,2010-03-18 18:27:56
93,A,2012-07-25 15:02:54
93,B,2012-07-30 17:39:04
93,C,2012-08-02 23:14:07
94,A,2012-02-08 17:33:56
94,B,2012-02-08 17:34:08
94,C,2012-02-08 17:34:34
95,A,2011-09-26 18:27:14
95,B,2011-09-29 21:54:32
95,C,2011-09-30 17:09:23
96,A,2012-02-28 01:31:32
96,B,2012-02-28 17:52:59
96,C,2012-02-29 17:25:13
96,C,2012-02-29 17:25:14
98,A,2012-07-05 20:16:51
98,B,2012-07-05 20:20:39
98,C,2012-07-09 21:21:24
99,A,2011-05-11 18:16:32
99,B,2011-05-11 18:17:55
99,C,2011-05-16 16:33:29
101,D,2010-06-18 21:47:15
101,A,2010-06-18 22:18:15
101,B,2010-06-29 15:35:47
101,C,2010-06-29 16:33:07
102,A,2012-01-30 18:09:29
102,B,2012-01-30 18:09:57
102,C,2012-01-31 17:12:06
103,A,2010-06-07 15:30:54
103,A,2010-06-07 15:49:10
103,B,2010-06-07 23:16:44
103,E,2010-06-08 18:37:29
103,B,2010-06-09 15:18:05
103,F,2010-06-09 15:18:28
103,C,2010-06-16 17:23:07
104,A,2011-01-27 17:34:59
104,B,2011-01-27 18:32:40
104,C,2011-01-27 18:34:24
108,A,2011-01-12 20:28:16
108,B,2011-01-24 18:21:26
108,C,2011-01-26 17:12:39
109,A,2010-09-24 23:35:31
109,B,2010-09-27 17:11:48
109,E,2010-09-28 16:31:41
109,B,2010-11-08 18:33:36
109,C,2010-11-08 18:33:57
110,A,2010-12-16 18:33:24
110,B,2010-12-16 18:40:25
110,C,2010-12-17 00:52:50
111,A,2010-06-29 22:00:48
111,B,2010-06-29 23:16:26
111,C,2010-06-30 16:05:04
111,B,2010-06-30 22:19:00
111,E,2010-07-01 17:00:03
111,B,2010-07-02 22:07:18
111,C,2010-07-02 22:08:52
112,A,2011-10-06 15:50:55
112,B,2011-10-07 22:03:47
112,C,2011-10-14 22:44:32
113,D,2010-05-06 23:51:48
113,A,2010-05-24 18:23:15
113,B,2010-05-25 21:48:24
113,C,2010-05-25 22:11:28
116,A,2011-04-08 21:02:03
116,B,2011-04-08 21:02:38
116,C,2011-04-08 21:07:10
117,A,2012-07-19 18:59:25
117,B,2012-07-20 16:49:34
117,C,2012-07-20 22:44:15
118,A,2011-03-07 20:02:24
118,B,2011-03-07 20:02:41
118,C,2011-03-07 22:14:21
119,A,2011-12-05 23:22:17
119,B,2011-12-05 23:58:56
119,C,2011-12-13 18:22:04
120,A,2012-04-24 22:07:03
120,B,2012-05-08 18:53:06
120,E,2012-05-08 20:31:30
120,C,2012-05-08 22:04:27
121,A,2011-02-09 22:28:58
121,B,2011-02-09 23:21:02
121,C,2011-02-09 23:21:46
122,A,2011-02-15 00:23:08
122,B,2011-02-15 20:17:46
122,C,2011-02-15 20:52:47
123,A,2011-05-06 15:33:07
123,B,2011-05-06 15:33:39
123,E,2011-05-06 20:55:50
123,B,2011-05-12 21:45:43
123,C,2011-05-12 21:45:54
124,A,2012-06-07 23:31:32
124,B,2012-06-08 14:47:21
124,C,2012-06-08 14:47:30
125,A,2010-08-19 17:48:49
125,B,2010-08-19 17:49:49
125,E,2010-08-19 18:07:15
125,B,2010-09-13 16:15:21
125,C,2010-09-13 16:49:39
126,A,2012-07-25 23:34:31
126,A,2012-08-27 21:28:50
126,C,2012-08-27 22:18:05
127,A,2010-03-12 18:28:49
127,B,2010-03-12 18:29:00
127,C,2010-03-12 18:37:27
130,D,2010-04-08 16:58:03
130,A,2010-04-08 17:01:05
130,B,2010-04-08 17:01:11
130,C,2010-04-08 17:01:19
132,A,2012-06-21 20:50:46
132,B,2012-06-21 21:30:02
132,E,2012-06-21 22:32:08
132,C,2012-06-25 20:03:33
133,A,2011-01-26 20:24:58
133,A,2011-01-26 20:59:56
133,B,2011-01-26 21:00:03
133,C,2011-01-28 23:29:17
134,A,2011-04-19 22:42:45
134,B,2011-04-19 22:45:25
134,C,2011-04-19 22:45:42
135,A,2011-02-08 20:57:41
135,B,2011-02-08 20:58:01
135,E,2011-02-10 17:27:30
135,B,2011-02-14 21:01:11
135,C,2011-02-14 21:02:59
135,B,2011-03-03 18:46:37
135,C,2011-03-03 23:05:29
136,A,2012-06-06 22:48:56
136,B,2012-06-07 20:19:44
136,C,2012-06-08 15:13:29
137,A,2011-08-05 21:00:13
137,B,2011-08-11 18:30:47
137,E,2011-08-12 21:42:55
137,C,2011-08-19 20:25:37
138,A,2012-03-02 18:13:46
138,B,2012-03-02 18:13:56
138,C,2012-03-02 18:34:03
139,A,2010-04-19 15:44:31
139,B,2010-04-19 17:15:20
139,C,2010-04-19 17:26:05
141,A,2011-01-12 19:39:32
141,B,2011-01-12 19:39:56
141,E,2011-01-12 19:50:26
141,B,2011-01-12 20:07:51
141,E,2011-01-12 20:34:34
141,B,2011-01-26 18:25:14
141,C,2011-01-26 18:26:04
142,A,2012-03-07 20:00:05
142,B,2012-03-08 22:53:36
142,C,2012-03-09 23:48:25
146,A,2010-10-05 22:55:27
146,B,2010-10-05 23:09:10
146,C,2010-10-05 23:09:39
149,A,2011-02-09 23:35:27
149,B,2011-02-10 00:16:21
149,C,2011-02-10 00:24:44
150,D,2011-05-18 16:39:41
150,A,2011-05-18 16:39:49
150,B,2011-05-18 16:41:36
150,E,2011-05-23 23:20:54
150,B,2011-05-26 15:55:33
150,C,2011-05-26 15:56:00
151,A,2010-02-10 19:25:33
151,B,2010-02-10 19:33:38
151,C,2010-02-10 19:33:49
152,A,2012-05-18 20:08:58
152,B,2012-05-24 18:00:37
152,C,2012-05-25 16:12:16
153,A,2012-07-02 15:35:06
153,B,2012-07-02 19:00:33
153,C,2012-07-02 19:01:29
155,A,2010-12-15 01:19:51
155,B,2010-12-17 19:45:21
155,E,2010-12-24 00:26:07
155,B,2011-01-18 20:15:13
155,C,2011-01-18 20:15:29
157,A,2011-05-24 15:13:23
157,B,2011-05-31 23:42:09
157,C,2011-06-06 18:19:01
158,A,2010-09-20 23:57:01
158,B,2010-09-21 15:45:37
158,C,2010-09-21 15:53:48
159,A,2011-09-21 15:12:16
159,B,2011-09-21 15:46:44
159,C,2011-09-27 21:20:30
160,A,2011-02-25 19:55:02
160,B,2011-02-25 22:26:45
160,C,2011-02-25 22:28:30
161,A,2010-08-10 15:16:09
161,B,2010-08-12 18:33:35
161,C,2010-08-13 15:24:41
162,A,2011-10-04 23:47:43
162,A,2011-10-07 21:29:10
162,C,2011-10-07 21:30:00
163,A,2010-10-15 16:27:20
163,B,2010-10-27 19:46:30
163,C,2010-10-27 19:46:36
164,A,2010-09-28 20:44:01
164,B,2010-09-28 20:46:50
164,C,2010-09-28 22:03:08
165,A,2012-01-14 01:36:23
165,C,2012-01-14 01:36:49
166,A,2010-02-11 17:48:50
166,B,2010-02-24 01:56:28
166,C,2010-02-24 01:56:36
167,A,2011-11-23 23:43:38
167,B,2011-11-25 19:12:19
167,E,2011-11-25 23:01:18
167,C,2011-11-28 18:25:00
167,C,2011-11-28 18:25:02
168,A,2012-01-09 19:01:47
168,B,2012-01-09 20:20:28
168,C,2012-01-09 20:21:29
170,A,2012-05-02 23:54:51
170,B,2012-05-03 15:51:09
170,E,2012-05-03 16:01:21
170,B,2012-05-17 15:46:38
170,E,2012-05-17 15:47:13
170,C,2012-05-18 15:18:57
171,A,2011-08-29 22:12:48
171,A,2011-08-30 17:49:49
171,B,2011-08-30 18:06:35
171,C,2011-08-31 15:34:45
172,A,2010-09-17 00:02:20
172,B,2010-09-21 22:03:12
172,C,2010-09-27 18:08:54
173,A,2010-11-15 18:15:12
173,A,2010-11-15 18:15:27
173,B,2010-11-16 21:58:01
173,C,2010-11-16 22:01:14
174,A,2011-10-24 18:22:28
174,B,2011-11-04 00:48:18
174,E,2011-11-05 01:24:35
174,C,2011-11-09 23:20:52
175,A,2010-10-05 15:46:59
175,B,2010-10-05 15:59:41
175,C,2010-10-05 16:00:18
176,A,2012-07-17 18:44:26
176,B,2012-07-17 18:44:48
176,C,2012-07-18 21:11:34
177,A,2012-01-18 17:12:04
177,B,2012-01-18 17:21:52
177,C,2012-01-18 18:42:03
178,A,2012-02-22 23:49:43
178,B,2012-02-22 23:49:52
178,C,2012-02-29 18:36:49
179,A,2012-04-11 21:30:07
179,B,2012-04-12 17:29:39
179,C,2012-04-12 20:57:39
180,A,2011-10-06 18:23:22
180,B,2011-10-06 22:07:44
180,C,2011-10-06 22:31:30
181,A,2011-09-29 17:51:55
181,C,2011-09-30 21:14:19
182,A,2010-05-20 16:31:32
182,B,2010-05-24 18:55:17
182,C,2010-05-24 18:59:57
183,D,2010-05-19 23:08:49
183,A,2010-05-20 15:53:47
183,B,2010-05-24 15:15:57
183,C,2010-05-24 15:18:09
185,A,2010-11-02 22:49:59
185,B,2010-11-03 23:06:18
185,E,2010-11-03 23:06:51
185,B,2010-11-18 18:52:12
185,C,2010-11-18 18:52:18
186,A,2012-07-13 16:20:00
186,B,2012-07-13 21:25:40
186,E,2012-07-13 21:48:10
186,C,2012-07-18 15:05:36
187,A,2010-10-25 21:14:08
187,B,2010-10-27 21:27:14
187,C,2010-10-27 21:29:30
188,A,2012-01-09 22:58:58
188,B,2012-01-09 22:59:09
188,C,2012-01-10 18:03:01
189,A,2010-02-02 22:49:13
189,A,2010-02-02 23:04:15
189,B,2010-02-03 23:27:07
189,C,2010-02-03 23:27:16
190,A,2011-02-22 00:36:25
190,B,2011-02-22 01:44:27
190,C,2011-03-03 23:26:19
194,A,2012-02-08 20:28:03
194,B,2012-02-10 19:28:30
194,C,2012-03-05 20:31:08
195,A,2010-09-21 18:53:00
195,B,2010-09-23 17:25:07
195,E,2010-09-27 18:09:43
195,B,2010-09-29 15:06:22
195,E,2010-09-29 16:04:55
195,B,2010-09-29 20:29:35
195,C,2010-09-29 20:29:47
196,A,2011-11-16 19:45:30
196,B,2011-11-17 22:31:33
196,C,2011-11-17 22:32:09
198,A,2011-04-28 21:46:15
198,B,2011-04-28 21:46:46
198,C,2011-05-09 23:43:48
199,B,2011-12-14 00:45:50
199,C,2011-12-14 19:27:28
200,A,2012-04-12 22:59:24
200,B,2012-04-13 23:07:02
200,C,2012-04-16 21:40:01
201,A,2011-08-22 15:06:31
201,B,2011-08-22 17:14:28
201,C,2011-08-22 17:31:48
203,A,2010-06-11 18:18:02
203,B,2010-06-11 20:22:40
203,C,2010-06-16 16:04:16
204,A,2011-11-01 00:30:39
204,B,2011-11-01 00:30:50
204,C,2011-11-02 22:41:11
205,A,2010-12-07 20:10:52
205,B,2010-12-09 20:19:43
205,E,2010-12-20 23:24:30
205,B,2010-12-21 22:36:16
205,C,2010-12-21 23:31:29
206,A,2011-03-04 19:26:28
206,B,2011-03-04 19:29:32
206,E,2011-03-04 20:32:51
206,B,2011-03-11 20:48:16
206,C,2011-03-11 20:48:28
207,A,2011-06-21 21:40:37
207,B,2011-06-23 21:54:10
207,C,2011-07-11 15:42:06
208,A,2010-10-12 18:50:55
208,B,2010-10-12 20:58:07
208,C,2010-10-12 23:05:33
209,A,2012-01-11 19:39:43
209,B,2012-01-11 19:40:06
209,C,2012-01-11 19:41:58
211,A,2012-08-02 18:02:57
211,C,2012-08-03 20:56:13
212,A,2012-05-14 20:39:34
212,B,2012-05-14 20:39:41
212,C,2012-05-14 21:28:38
213,A,2011-07-19 18:43:29
213,C,2011-07-27 16:19:08
214,A,2011-01-26 17:16:35
214,A,2011-01-26 17:57:02
214,B,2011-01-26 17:57:35
214,C,2011-01-27 17:24:33
215,A,2010-04-15 15:13:46
215,B,2010-04-27 22:30:12
215,C,2010-04-27 22:30:18
216,A,2010-03-24 20:14:07
216,A,2010-03-24 20:14:29
216,B,2010-03-24 20:14:37
216,C,2010-03-24 20:14:41
217,A,2011-03-04 18:34:36
217,B,2011-03-04 18:35:05
217,C,2011-03-09 00:20:32
218,A,2011-03-26 01:16:00
218,B,2011-03-26 01:17:36
218,C,2011-03-26 01:31:47
218,B,2011-03-28 17:02:16
218,E,2011-03-31 23:35:15
218,B,2011-04-08 20:49:14
218,C,2011-04-08 21:01:12
219,B,2011-11-11 19:10:51
219,E,2011-11-11 19:52:25
219,B,2011-11-15 17:46:26
219,C,2011-11-15 17:47:32
219,C,2011-11-15 17:47:33
220,A,2011-07-25 19:03:37
220,B,2011-07-28 21:41:04
220,E,2011-08-04 17:47:48
220,C,2011-08-04 21:25:57
221,A,2011-11-23 19:46:01
221,B,2011-11-26 00:11:06
221,C,2011-11-28 20:46:18
222,A,2012-02-01 20:34:03
222,C,2012-02-01 20:35:16
223,A,2012-03-15 22:28:02
223,B,2012-03-16 20:30:26
223,C,2012-03-17 00:29:01
223,C,2012-03-17 00:29:02
224,A,2012-05-28 22:20:59
224,B,2012-05-28 22:21:21
224,E,2012-05-28 22:41:06
224,C,2012-05-29 16:06:03
225,A,2011-07-21 21:48:19
225,C,2011-07-22 21:05:46
226,A,2011-04-12 00:01:34
226,B,2011-04-12 00:01:52
226,C,2011-04-13 18:20:49
227,A,2011-05-17 17:14:34
227,B,2011-05-17 17:14:52
227,C,2011-05-20 20:41:53
228,A,2010-09-22 23:39:16
228,B,2010-09-23 16:37:42
228,C,2010-09-23 16:38:14
229,A,2011-11-23 18:44:28
229,C,2011-11-23 20:21:30
231,A,2010-10-19 22:08:14
231,A,2010-10-21 00:03:58
231,B,2010-10-21 00:04:16
231,C,2010-10-21 16:26:29
234,A,2010-06-23 23:57:59
234,A,2010-06-28 20:12:55
234,B,2010-07-07 18:10:15
234,C,2010-07-07 18:10:30
236,A,2011-01-19 19:08:18
236,B,2011-02-05 01:33:09
236,C,2011-02-07 19:48:08
238,A,2010-07-23 22:27:40
238,B,2010-07-27 15:36:36
238,C,2010-07-27 15:37:32
239,A,2011-07-14 21:26:36
239,B,2011-07-14 23:50:15
239,C,2011-08-03 16:14:00
240,A,2011-07-27 23:30:16
240,B,2011-08-02 23:54:16
240,C,2011-08-10 20:43:40
241,A,2012-05-17 23:53:08
241,B,2012-05-18 14:58:20
241,C,2012-05-21 16:27:17
242,A,2012-08-02 17:26:04
242,B,2012-08-22 22:24:49
242,C,2012-08-22 22:28:26
243,A,2012-06-20 22:41:25
243,B,2012-06-20 22:44:02
243,C,2012-06-20 22:44:33
244,A,2010-11-25 02:02:59
244,B,2010-11-25 02:21:52
244,C,2010-11-25 02:22:00
245,A,2010-04-28 23:21:11
245,B,2010-04-29 18:15:16
245,C,2010-05-03 20:56:35
246,A,2010-10-27 23:21:46
246,A,2010-11-02 23:57:09
246,B,2010-11-02 23:57:16
246,C,2010-11-02 23:57:22
247,D,2012-08-10 14:59:37
247,B,2012-08-10 15:02:47
247,C,2012-08-10 15:18:58
248,A,2011-11-08 22:32:15
248,C,2011-11-09 17:39:45
248,C,2011-11-09 17:39:46
249,A,2011-04-20 15:34:05
249,B,2011-04-20 15:35:25
249,C,2011-04-27 17:53:20
250,A,2011-02-23 02:06:59
250,B,2011-02-23 02:07:16
250,C,2011-02-28 19:43:36
251,A,2012-06-26 22:50:34
251,B,2012-07-03 15:44:06
251,C,2012-07-06 16:50:50
252,A,2011-01-19 23:55:14
252,B,2011-01-19 23:55:35
252,C,2011-01-21 00:21:38
252,B,2011-01-24 22:38:44
252,C,2011-02-28 18:40:26
254,A,2010-11-23 18:55:28
254,B,2010-11-30 23:09:41
254,C,2010-11-30 23:10:42
255,A,2012-03-06 17:24:19
255,B,2012-03-06 22:39:56
255,C,2012-03-06 23:07:30
256,A,2011-01-12 01:41:38
256,B,2011-01-27 19:59:56
256,C,2011-01-27 20:00:26
257,A,2011-01-28 20:42:47
257,B,2011-02-09 22:50:46
257,C,2011-02-09 22:50:56
258,A,2010-12-02 18:21:12
258,B,2010-12-02 19:16:17
258,E,2010-12-02 19:16:35
258,B,2010-12-07 01:45:40
258,C,2010-12-07 01:45:48
259,A,2010-03-23 17:10:15
259,A,2010-03-24 17:39:07
259,B,2010-03-24 17:39:20
259,C,2010-05-06 15:36:35
260,A,2010-10-18 21:15:06
260,A,2010-10-18 21:29:40
260,B,2010-10-19 18:17:06
260,C,2010-11-15 22:47:26
261,A,2012-07-30 18:55:26
261,B,2012-07-30 18:55:48
261,C,2012-07-30 21:14:37
263,A,2011-12-29 01:51:52
263,B,2011-12-29 19:16:43
263,C,2011-12-30 17:01:38
264,A,2011-03-09 22:27:13
264,B,2011-03-11 17:05:59
264,C,2011-03-11 17:22:38
266,A,2012-06-18 18:49:00
266,C,2012-06-20 15:11:19
266,C,2012-06-20 15:11:20
267,A,2011-05-05 17:41:25
267,B,2011-05-05 17:42:08
267,C,2011-05-05 21:14:58
268,D,2010-07-23 16:22:58
268,A,2010-07-23 16:23:24
268,B,2010-07-23 16:29:53
268,C,2010-07-23 17:53:25
269,B,2011-12-12 17:40:49
269,C,2012-01-03 18:15:12
270,A,2011-04-01 16:48:44
270,B,2011-04-01 16:49:20
270,E,2011-04-01 17:42:02
270,E,2011-04-01 18:40:01
270,B,2011-04-04 18:05:40
270,C,2011-04-06 18:48:27
271,D,2010-03-08 20:43:25
271,A,2010-03-08 20:44:57
271,A,2010-03-08 20:45:49
271,B,2010-03-08 20:52:48
271,C,2010-03-09 02:00:50
272,A,2012-01-25 16:58:57
272,B,2012-01-25 17:39:02
272,E,2012-02-01 20:28:32
272,C,2012-02-29 02:21:41
273,A,2010-03-26 00:16:03
273,B,2010-03-26 00:32:12
273,C,2010-03-26 02:10:30
274,A,2012-04-20 18:47:22
274,B,2012-04-26 16:37:56
274,C,2012-04-26 20:19:28
275,A,2010-06-08 20:44:14
275,B,2010-06-28 22:02:44
275,C,2010-06-28 22:07:25
276,D,2010-03-30 23:58:20
276,A,2010-03-30 23:58:35
276,B,2010-03-30 23:59:10
276,C,2010-03-31 00:13:29
277,A,2012-03-13 18:47:21
277,B,2012-03-13 18:48:04
277,C,2012-03-14 23:35:22
278,A,2010-05-24 20:55:50
278,E,2010-05-25 23:38:49
278,B,2010-06-16 16:46:50
278,E,2010-06-16 16:47:04
278,B,2010-06-21 23:04:47
278,C,2010-06-22 20:27:44
279,A,2011-10-07 17:50:02
279,C,2011-10-07 17:50:33
280,A,2010-11-25 23:02:43
280,B,2010-11-25 23:03:26
280,E,2010-11-26 00:56:39
280,B,2010-11-30 01:25:15
280,C,2010-11-30 01:25:22
280,B,2010-11-30 19:58:20
280,C,2010-12-01 23:33:08
281,A,2011-06-30 21:42:32
281,A,2011-06-30 21:42:53
281,B,2011-07-04 20:19:44
281,C,2011-07-04 20:57:06
283,A,2012-06-12 17:18:08
283,B,2012-06-18 18:01:49
283,C,2012-07-02 17:44:23
284,A,2011-11-08 17:24:00
284,B,2011-11-08 17:24:19
284,C,2011-11-08 17:34:52
285,A,2012-05-02 18:41:57
285,B,2012-05-03 16:00:14
285,C,2012-05-03 22:34:29
287,A,2011-02-08 16:48:56
287,B,2011-02-08 16:49:34
287,C,2011-02-08 19:49:59
288,A,2011-11-17 18:35:43
288,B,2011-11-17 18:36:01
288,C,2011-11-17 23:00:05
289,A,2010-09-07 22:11:07
289,B,2010-09-07 22:44:49
289,C,2010-09-07 23:39:38
290,A,2012-02-14 20:05:29
290,E,2012-02-15 18:20:13
290,C,2012-03-01 00:31:24
290,C,2012-03-01 00:31:28
291,A,2010-10-13 18:21:33
291,A,2010-10-13 18:21:52
291,B,2010-10-13 18:22:15
291,C,2010-10-20 23:23:37
292,A,2012-08-02 16:46:54
292,B,2012-08-02 16:48:49
292,C,2012-08-02 16:49:07
293,A,2012-07-27 21:10:43
293,B,2012-08-10 21:16:56
293,C,2012-08-14 16:26:51
294,A,2010-05-14 20:55:15
294,B,2010-05-14 21:02:16
294,C,2010-05-14 21:24:16
295,A,2012-02-15 18:20:54
295,B,2012-02-15 18:30:22
295,C,2012-02-15 22:06:58
295,C,2012-02-15 22:06:59
297,A,2010-07-15 18:44:37
297,B,2010-07-15 20:54:40
297,C,2010-07-15 21:10:18
298,A,2010-12-01 01:41:26
298,B,2010-12-01 18:11:18
298,C,2010-12-01 18:11:26
300,A,2012-03-22 01:34:29
300,B,2012-03-22 01:34:39
300,C,2012-03-26 18:31:22
