case ,event,time
297,e,2010/11/9 20:06
297,h,2010/11/9 20:07
296,a,2010/11/9 20:03
296,c,2010/11/9 20:04
296,d,2010/11/9 20:05
296,e,2010/11/9 20:06
296,h,2010/11/9 20:07
295,a,2010/11/9 20:03
295,c,2010/11/9 20:04
295,d,2010/11/9 20:05
295,e,2010/11/9 20:06
295,h,2010/11/9 20:07
Case3.10,a,2010/11/9 20:03
Case3.10,d,2010/11/9 20:04
Case3.10,c,2010/11/9 20:05
Case3.10,e,2010/11/9 20:06
Case3.10,h,2010/11/9 20:07
Case3.17,a,2010/11/9 20:03
Case3.17,d,2010/11/9 20:04
Case3.17,c,2010/11/9 20:05
Case3.17,e,2010/11/9 20:06
Case3.17,h,2010/11/9 20:07
Case3.18,a,2010/11/9 20:03
Case3.18,d,2010/11/9 20:04
Case3.18,c,2010/11/9 20:05
Case3.18,e,2010/11/9 20:06
Case3.18,h,2010/11/9 20:07
Case3.15,a,2010/11/9 20:03
Case3.15,d,2010/11/9 20:04
Case3.15,c,2010/11/9 20:05
Case3.15,e,2010/11/9 20:06
Case3.15,h,2010/11/9 20:07
Case3.16,a,2010/11/9 20:03
Case3.16,d,2010/11/9 20:04
Case3.16,c,2010/11/9 20:05
Case3.16,e,2010/11/9 20:06
Case3.16,h,2010/11/9 20:07
Case3.13,a,2010/11/9 20:03
Case3.13,d,2010/11/9 20:04
Case3.13,c,2010/11/9 20:05
Case3.13,e,2010/11/9 20:06
Case3.13,h,2010/11/9 20:07
Case3.14,a,2010/11/9 20:03
Case3.14,d,2010/11/9 20:04
Case3.14,c,2010/11/9 20:05
Case3.14,e,2010/11/9 20:06
Case3.14,h,2010/11/9 20:07
Case3.11,a,2010/11/9 20:03
Case3.11,d,2010/11/9 20:04
Case3.11,c,2010/11/9 20:05
Case3.11,e,2010/11/9 20:06
Case3.11,h,2010/11/9 20:07
Case3.12,a,2010/11/9 20:03
Case3.12,d,2010/11/9 20:04
Case3.12,c,2010/11/9 20:05
Case3.12,e,2010/11/9 20:06
Case3.12,h,2010/11/9 20:07
Case3.19,a,2010/11/9 20:03
Case3.19,d,2010/11/9 20:04
Case3.19,c,2010/11/9 20:05
Case3.19,e,2010/11/9 20:06
Case3.19,h,2010/11/9 20:07
Case3.20,a,2010/11/9 20:03
Case3.20,d,2010/11/9 20:04
Case3.20,c,2010/11/9 20:05
Case3.20,e,2010/11/9 20:06
Case3.20,h,2010/11/9 20:07
Case3.21,a,2010/11/9 20:03
Case3.21,d,2010/11/9 20:04
Case3.21,c,2010/11/9 20:05
Case3.21,e,2010/11/9 20:06
Case3.21,h,2010/11/9 20:07
Case3.26,a,2010/11/9 20:03
Case3.26,d,2010/11/9 20:04
Case3.26,c,2010/11/9 20:05
Case3.26,e,2010/11/9 20:06
Case3.26,h,2010/11/9 20:07
Case3.27,a,2010/11/9 20:03
Case3.27,d,2010/11/9 20:04
Case3.27,c,2010/11/9 20:05
Case3.27,e,2010/11/9 20:06
Case3.27,h,2010/11/9 20:07
Case3.28,a,2010/11/9 20:03
Case3.28,d,2010/11/9 20:04
Case3.28,c,2010/11/9 20:05
Case3.28,e,2010/11/9 20:06
Case3.28,h,2010/11/9 20:07
Case3.29,a,2010/11/9 20:03
Case3.29,d,2010/11/9 20:04
Case3.29,c,2010/11/9 20:05
Case3.29,e,2010/11/9 20:06
Case3.29,h,2010/11/9 20:07
Case3.22,a,2010/11/9 20:03
Case3.22,d,2010/11/9 20:04
Case3.22,c,2010/11/9 20:05
Case3.22,e,2010/11/9 20:06
Case3.22,h,2010/11/9 20:07
Case3.23,a,2010/11/9 20:03
Case3.23,d,2010/11/9 20:04
Case3.23,c,2010/11/9 20:05
Case3.23,e,2010/11/9 20:06
Case3.23,h,2010/11/9 20:07
Case3.24,a,2010/11/9 20:03
Case3.24,d,2010/11/9 20:04
Case3.24,c,2010/11/9 20:05
Case3.24,e,2010/11/9 20:06
Case3.24,h,2010/11/9 20:07
Case3.25,a,2010/11/9 20:03
Case3.25,d,2010/11/9 20:04
Case3.25,c,2010/11/9 20:05
Case3.25,e,2010/11/9 20:06
Case3.25,h,2010/11/9 20:07
203,a,2010/11/9 20:03
203,c,2010/11/9 20:04
203,d,2010/11/9 20:05
203,e,2010/11/9 20:06
203,h,2010/11/9 20:07
202,a,2010/11/9 20:03
202,c,2010/11/9 20:04
202,d,2010/11/9 20:05
202,e,2010/11/9 20:06
202,h,2010/11/9 20:07
201,a,2010/11/9 20:03
201,c,2010/11/9 20:04
201,d,2010/11/9 20:05
201,e,2010/11/9 20:06
201,h,2010/11/9 20:07
200,a,2010/11/9 20:03
200,c,2010/11/9 20:04
200,d,2010/11/9 20:05
200,e,2010/11/9 20:06
200,h,2010/11/9 20:07
207,a,2010/11/9 20:03
207,c,2010/11/9 20:04
207,d,2010/11/9 20:05
207,e,2010/11/9 20:06
207,h,2010/11/9 20:07
206,a,2010/11/9 20:03
206,c,2010/11/9 20:04
206,d,2010/11/9 20:05
206,e,2010/11/9 20:06
206,h,2010/11/9 20:07
205,a,2010/11/9 20:03
205,c,2010/11/9 20:04
205,d,2010/11/9 20:05
205,e,2010/11/9 20:06
205,h,2010/11/9 20:07
204,a,2010/11/9 20:03
204,c,2010/11/9 20:04
204,d,2010/11/9 20:05
204,e,2010/11/9 20:06
204,h,2010/11/9 20:07
Case5.108,a,2010/11/9 20:03
Case5.108,c,2010/11/9 20:04
Case5.108,d,2010/11/9 20:05
Case5.108,e,2010/11/9 20:06
Case5.108,g,2010/11/9 20:07
Case5.107,a,2010/11/9 20:03
Case5.107,c,2010/11/9 20:04
Case5.107,d,2010/11/9 20:05
Case5.107,e,2010/11/9 20:06
Case5.107,g,2010/11/9 20:07
Case5.106,a,2010/11/9 20:03
Case5.106,c,2010/11/9 20:04
Case5.106,d,2010/11/9 20:05
Case5.106,e,2010/11/9 20:06
Case5.106,g,2010/11/9 20:07
Case5.105,a,2010/11/9 20:03
Case5.105,c,2010/11/9 20:04
Case5.105,d,2010/11/9 20:05
Case5.105,e,2010/11/9 20:06
Case5.105,g,2010/11/9 20:07
Case5.109,a,2010/11/9 20:03
Case5.109,c,2010/11/9 20:04
Case5.109,d,2010/11/9 20:05
Case5.109,e,2010/11/9 20:06
Case5.109,g,2010/11/9 20:07
Case2.143,a,2010/11/9 20:03
Case2.143,b,2010/11/9 20:04
Case2.143,d,2010/11/9 20:05
Case2.143,e,2010/11/9 20:06
Case2.143,g,2010/11/9 20:07
Case5.100,a,2010/11/9 20:03
Case5.100,c,2010/11/9 20:04
Case5.100,d,2010/11/9 20:05
Case5.100,e,2010/11/9 20:06
Case5.100,g,2010/11/9 20:07
Case2.142,a,2010/11/9 20:03
Case2.142,b,2010/11/9 20:04
Case2.142,d,2010/11/9 20:05
Case2.142,e,2010/11/9 20:06
Case2.142,g,2010/11/9 20:07
Case2.141,a,2010/11/9 20:03
Case2.141,b,2010/11/9 20:04
Case2.141,d,2010/11/9 20:05
Case2.141,e,2010/11/9 20:06
Case2.141,g,2010/11/9 20:07
Case2.140,a,2010/11/9 20:03
Case2.140,b,2010/11/9 20:04
Case2.140,d,2010/11/9 20:05
Case2.140,e,2010/11/9 20:06
Case2.140,g,2010/11/9 20:07
Case5.103,a,2010/11/9 20:03
Case5.103,c,2010/11/9 20:04
Case5.103,d,2010/11/9 20:05
Case5.103,e,2010/11/9 20:06
Case5.103,g,2010/11/9 20:07
Case5.104,a,2010/11/9 20:03
Case5.104,c,2010/11/9 20:04
Case5.104,d,2010/11/9 20:05
Case5.104,e,2010/11/9 20:06
Case5.104,g,2010/11/9 20:07
Case5.101,a,2010/11/9 20:03
Case5.101,c,2010/11/9 20:04
Case5.101,d,2010/11/9 20:05
Case5.101,e,2010/11/9 20:06
Case5.101,g,2010/11/9 20:07
Case5.102,a,2010/11/9 20:03
Case5.102,c,2010/11/9 20:04
Case5.102,d,2010/11/9 20:05
Case5.102,e,2010/11/9 20:06
Case5.102,g,2010/11/9 20:07
208,a,2010/11/9 20:03
208,c,2010/11/9 20:04
208,d,2010/11/9 20:05
208,e,2010/11/9 20:06
208,h,2010/11/9 20:07
Case2.149,a,2010/11/9 20:03
Case2.149,b,2010/11/9 20:04
Case2.149,d,2010/11/9 20:05
Case2.149,e,2010/11/9 20:06
Case2.149,g,2010/11/9 20:07
209,a,2010/11/9 20:03
209,c,2010/11/9 20:04
209,d,2010/11/9 20:05
209,e,2010/11/9 20:06
209,h,2010/11/9 20:07
Case2.148,a,2010/11/9 20:03
Case2.148,b,2010/11/9 20:04
Case2.148,d,2010/11/9 20:05
Case2.148,e,2010/11/9 20:06
Case2.148,g,2010/11/9 20:07
Case2.147,a,2010/11/9 20:03
Case2.147,b,2010/11/9 20:04
Case2.147,d,2010/11/9 20:05
Case2.147,e,2010/11/9 20:06
Case2.147,g,2010/11/9 20:07
Case2.146,a,2010/11/9 20:03
Case2.146,b,2010/11/9 20:04
Case2.146,d,2010/11/9 20:05
Case2.146,e,2010/11/9 20:06
Case2.146,g,2010/11/9 20:07
Case2.145,a,2010/11/9 20:03
Case2.145,b,2010/11/9 20:04
Case2.145,d,2010/11/9 20:05
Case2.145,e,2010/11/9 20:06
Case2.145,g,2010/11/9 20:07
Case2.144,a,2010/11/9 20:03
Case2.144,b,2010/11/9 20:04
Case2.144,d,2010/11/9 20:05
Case2.144,e,2010/11/9 20:06
Case2.144,g,2010/11/9 20:07
212,a,2010/11/9 20:03
212,c,2010/11/9 20:04
212,d,2010/11/9 20:05
212,e,2010/11/9 20:06
212,h,2010/11/9 20:07
211,a,2010/11/9 20:03
211,c,2010/11/9 20:04
211,d,2010/11/9 20:05
211,e,2010/11/9 20:06
211,h,2010/11/9 20:07
214,a,2010/11/9 20:03
214,c,2010/11/9 20:04
214,d,2010/11/9 20:05
214,e,2010/11/9 20:06
214,h,2010/11/9 20:07
213,a,2010/11/9 20:03
213,c,2010/11/9 20:04
213,d,2010/11/9 20:05
213,e,2010/11/9 20:06
213,h,2010/11/9 20:07
216,a,2010/11/9 20:03
216,c,2010/11/9 20:04
216,d,2010/11/9 20:05
216,e,2010/11/9 20:06
216,h,2010/11/9 20:07
215,a,2010/11/9 20:03
215,c,2010/11/9 20:04
215,d,2010/11/9 20:05
215,e,2010/11/9 20:06
215,h,2010/11/9 20:07
218,a,2010/11/9 20:03
218,c,2010/11/9 20:04
218,d,2010/11/9 20:05
218,e,2010/11/9 20:06
218,h,2010/11/9 20:07
217,a,2010/11/9 20:03
217,c,2010/11/9 20:04
217,d,2010/11/9 20:05
217,e,2010/11/9 20:06
217,h,2010/11/9 20:07
210,a,2010/11/9 20:03
210,c,2010/11/9 20:04
210,d,2010/11/9 20:05
210,e,2010/11/9 20:06
210,h,2010/11/9 20:07
Case2.152,a,2010/11/9 20:03
Case2.152,b,2010/11/9 20:04
Case2.152,d,2010/11/9 20:05
Case2.152,e,2010/11/9 20:06
Case2.152,g,2010/11/9 20:07
Case2.151,a,2010/11/9 20:03
Case2.151,b,2010/11/9 20:04
Case2.151,d,2010/11/9 20:05
Case2.151,e,2010/11/9 20:06
Case2.151,g,2010/11/9 20:07
Case5.110,a,2010/11/9 20:03
Case5.110,c,2010/11/9 20:04
Case5.110,d,2010/11/9 20:05
Case5.110,e,2010/11/9 20:06
Case5.110,g,2010/11/9 20:07
Case2.154,a,2010/11/9 20:03
Case2.154,b,2010/11/9 20:04
Case2.154,d,2010/11/9 20:05
Case2.154,e,2010/11/9 20:06
Case2.154,g,2010/11/9 20:07
Case2.153,a,2010/11/9 20:03
Case2.153,b,2010/11/9 20:04
Case2.153,d,2010/11/9 20:05
Case2.153,e,2010/11/9 20:06
Case2.153,g,2010/11/9 20:07
Case2.150,a,2010/11/9 20:03
Case2.150,b,2010/11/9 20:04
Case2.150,d,2010/11/9 20:05
Case2.150,e,2010/11/9 20:06
Case2.150,g,2010/11/9 20:07
219,a,2010/11/9 20:03
219,c,2010/11/9 20:04
219,d,2010/11/9 20:05
219,e,2010/11/9 20:06
219,h,2010/11/9 20:07
Case2.159,a,2010/11/9 20:03
Case2.159,b,2010/11/9 20:04
Case2.159,d,2010/11/9 20:05
Case2.159,e,2010/11/9 20:06
Case2.159,g,2010/11/9 20:07
Case2.156,a,2010/11/9 20:03
Case2.156,b,2010/11/9 20:04
Case2.156,d,2010/11/9 20:05
Case2.156,e,2010/11/9 20:06
Case2.156,g,2010/11/9 20:07
Case2.155,a,2010/11/9 20:03
Case2.155,b,2010/11/9 20:04
Case2.155,d,2010/11/9 20:05
Case2.155,e,2010/11/9 20:06
Case2.155,g,2010/11/9 20:07
Case2.158,a,2010/11/9 20:03
Case2.158,b,2010/11/9 20:04
Case2.158,d,2010/11/9 20:05
Case2.158,e,2010/11/9 20:06
Case2.158,g,2010/11/9 20:07
Case2.157,a,2010/11/9 20:03
Case2.157,b,2010/11/9 20:04
Case2.157,d,2010/11/9 20:05
Case2.157,e,2010/11/9 20:06
Case2.157,g,2010/11/9 20:07
229,a,2010/11/9 20:03
229,c,2010/11/9 20:04
229,d,2010/11/9 20:05
229,e,2010/11/9 20:06
229,h,2010/11/9 20:07
228,a,2010/11/9 20:03
228,c,2010/11/9 20:04
228,d,2010/11/9 20:05
228,e,2010/11/9 20:06
228,h,2010/11/9 20:07
227,a,2010/11/9 20:03
227,c,2010/11/9 20:04
227,d,2010/11/9 20:05
227,e,2010/11/9 20:06
227,h,2010/11/9 20:07
226,a,2010/11/9 20:03
226,c,2010/11/9 20:04
226,d,2010/11/9 20:05
226,e,2010/11/9 20:06
226,h,2010/11/9 20:07
225,a,2010/11/9 20:03
225,c,2010/11/9 20:04
225,d,2010/11/9 20:05
225,e,2010/11/9 20:06
225,h,2010/11/9 20:07
224,a,2010/11/9 20:03
224,c,2010/11/9 20:04
224,d,2010/11/9 20:05
224,e,2010/11/9 20:06
224,h,2010/11/9 20:07
223,a,2010/11/9 20:03
223,c,2010/11/9 20:04
223,d,2010/11/9 20:05
223,e,2010/11/9 20:06
223,h,2010/11/9 20:07
222,a,2010/11/9 20:03
222,c,2010/11/9 20:04
222,d,2010/11/9 20:05
222,e,2010/11/9 20:06
222,h,2010/11/9 20:07
221,a,2010/11/9 20:03
221,c,2010/11/9 20:04
221,d,2010/11/9 20:05
221,e,2010/11/9 20:06
221,h,2010/11/9 20:07
220,a,2010/11/9 20:03
220,c,2010/11/9 20:04
220,d,2010/11/9 20:05
220,e,2010/11/9 20:06
220,h,2010/11/9 20:07
Case2.121,a,2010/11/9 20:03
Case2.121,b,2010/11/9 20:04
Case2.121,d,2010/11/9 20:05
Case2.121,e,2010/11/9 20:06
Case2.121,g,2010/11/9 20:07
Case2.120,a,2010/11/9 20:03
Case2.120,b,2010/11/9 20:04
Case2.120,d,2010/11/9 20:05
Case2.120,e,2010/11/9 20:06
Case2.120,g,2010/11/9 20:07
Case2.125,a,2010/11/9 20:03
Case2.125,b,2010/11/9 20:04
Case2.125,d,2010/11/9 20:05
Case2.125,e,2010/11/9 20:06
Case2.125,g,2010/11/9 20:07
Case2.124,a,2010/11/9 20:03
Case2.124,b,2010/11/9 20:04
Case2.124,d,2010/11/9 20:05
Case2.124,e,2010/11/9 20:06
Case2.124,g,2010/11/9 20:07
Case2.123,a,2010/11/9 20:03
Case2.123,b,2010/11/9 20:04
Case2.123,d,2010/11/9 20:05
Case2.123,e,2010/11/9 20:06
Case2.123,g,2010/11/9 20:07
Case2.122,a,2010/11/9 20:03
Case2.122,b,2010/11/9 20:04
Case2.122,d,2010/11/9 20:05
Case2.122,e,2010/11/9 20:06
Case2.122,g,2010/11/9 20:07
Case2.129,a,2010/11/9 20:03
Case2.129,b,2010/11/9 20:04
Case2.129,d,2010/11/9 20:05
Case2.129,e,2010/11/9 20:06
Case2.129,g,2010/11/9 20:07
Case2.128,a,2010/11/9 20:03
Case2.128,b,2010/11/9 20:04
Case2.128,d,2010/11/9 20:05
Case2.128,e,2010/11/9 20:06
Case2.128,g,2010/11/9 20:07
Case2.127,a,2010/11/9 20:03
Case2.127,b,2010/11/9 20:04
Case2.127,d,2010/11/9 20:05
Case2.127,e,2010/11/9 20:06
Case2.127,g,2010/11/9 20:07
Case2.126,a,2010/11/9 20:03
Case2.126,b,2010/11/9 20:04
Case2.126,d,2010/11/9 20:05
Case2.126,e,2010/11/9 20:06
Case2.126,g,2010/11/9 20:07
238,a,2010/11/9 20:03
238,c,2010/11/9 20:04
238,d,2010/11/9 20:05
238,e,2010/11/9 20:06
238,h,2010/11/9 20:07
237,a,2010/11/9 20:03
237,c,2010/11/9 20:04
237,d,2010/11/9 20:05
237,e,2010/11/9 20:06
237,h,2010/11/9 20:07
239,a,2010/11/9 20:03
239,c,2010/11/9 20:04
239,d,2010/11/9 20:05
239,e,2010/11/9 20:06
239,h,2010/11/9 20:07
234,a,2010/11/9 20:03
234,c,2010/11/9 20:04
234,d,2010/11/9 20:05
234,e,2010/11/9 20:06
234,h,2010/11/9 20:07
233,a,2010/11/9 20:03
233,c,2010/11/9 20:04
233,d,2010/11/9 20:05
233,e,2010/11/9 20:06
233,h,2010/11/9 20:07
236,a,2010/11/9 20:03
236,c,2010/11/9 20:04
236,d,2010/11/9 20:05
236,e,2010/11/9 20:06
236,h,2010/11/9 20:07
235,a,2010/11/9 20:03
235,c,2010/11/9 20:04
235,d,2010/11/9 20:05
235,e,2010/11/9 20:06
235,h,2010/11/9 20:07
230,a,2010/11/9 20:03
230,c,2010/11/9 20:04
230,d,2010/11/9 20:05
230,e,2010/11/9 20:06
230,h,2010/11/9 20:07
232,a,2010/11/9 20:03
232,c,2010/11/9 20:04
232,d,2010/11/9 20:05
232,e,2010/11/9 20:06
232,h,2010/11/9 20:07
231,a,2010/11/9 20:03
231,c,2010/11/9 20:04
231,d,2010/11/9 20:05
231,e,2010/11/9 20:06
231,h,2010/11/9 20:07
Case2.130,a,2010/11/9 20:03
Case2.130,b,2010/11/9 20:04
Case2.130,d,2010/11/9 20:05
Case2.130,e,2010/11/9 20:06
Case2.130,g,2010/11/9 20:07
Case2.132,a,2010/11/9 20:03
Case2.132,b,2010/11/9 20:04
Case2.132,d,2010/11/9 20:05
Case2.132,e,2010/11/9 20:06
Case2.132,g,2010/11/9 20:07
Case2.131,a,2010/11/9 20:03
Case2.131,b,2010/11/9 20:04
Case2.131,d,2010/11/9 20:05
Case2.131,e,2010/11/9 20:06
Case2.131,g,2010/11/9 20:07
Case2.134,a,2010/11/9 20:03
Case2.134,b,2010/11/9 20:04
Case2.134,d,2010/11/9 20:05
Case2.134,e,2010/11/9 20:06
Case2.134,g,2010/11/9 20:07
Case2.133,a,2010/11/9 20:03
Case2.133,b,2010/11/9 20:04
Case2.133,d,2010/11/9 20:05
Case2.133,e,2010/11/9 20:06
Case2.133,g,2010/11/9 20:07
Case2.136,a,2010/11/9 20:03
Case2.136,b,2010/11/9 20:04
Case2.136,d,2010/11/9 20:05
Case2.136,e,2010/11/9 20:06
Case2.136,g,2010/11/9 20:07
Case2.135,a,2010/11/9 20:03
Case2.135,b,2010/11/9 20:04
Case2.135,d,2010/11/9 20:05
Case2.135,e,2010/11/9 20:06
Case2.135,g,2010/11/9 20:07
Case2.138,a,2010/11/9 20:03
Case2.138,b,2010/11/9 20:04
Case2.138,d,2010/11/9 20:05
Case2.138,e,2010/11/9 20:06
Case2.138,g,2010/11/9 20:07
Case2.137,a,2010/11/9 20:03
Case2.137,b,2010/11/9 20:04
Case2.137,d,2010/11/9 20:05
Case2.137,e,2010/11/9 20:06
Case2.137,g,2010/11/9 20:07
Case2.139,a,2010/11/9 20:03
Case2.139,b,2010/11/9 20:04
Case2.139,d,2010/11/9 20:05
Case2.139,e,2010/11/9 20:06
Case2.139,g,2010/11/9 20:07
Case2.190,a,2010/11/9 20:03
Case2.190,b,2010/11/9 20:04
Case2.190,d,2010/11/9 20:05
Case2.190,e,2010/11/9 20:06
Case2.190,g,2010/11/9 20:07
Case2.0,a,2010/11/9 20:03
Case2.0,b,2010/11/9 20:04
Case2.0,d,2010/11/9 20:05
Case2.0,e,2010/11/9 20:06
Case2.0,g,2010/11/9 20:07
242,a,2010/11/9 20:03
242,c,2010/11/9 20:04
242,d,2010/11/9 20:05
242,e,2010/11/9 20:06
242,h,2010/11/9 20:07
243,a,2010/11/9 20:03
243,c,2010/11/9 20:04
243,d,2010/11/9 20:05
243,e,2010/11/9 20:06
243,h,2010/11/9 20:07
240,a,2010/11/9 20:03
240,c,2010/11/9 20:04
240,d,2010/11/9 20:05
240,e,2010/11/9 20:06
240,h,2010/11/9 20:07
241,a,2010/11/9 20:03
241,c,2010/11/9 20:04
241,d,2010/11/9 20:05
241,e,2010/11/9 20:06
241,h,2010/11/9 20:07
246,a,2010/11/9 20:03
246,c,2010/11/9 20:04
246,d,2010/11/9 20:05
246,e,2010/11/9 20:06
246,h,2010/11/9 20:07
Case2.7,a,2010/11/9 20:03
Case2.7,b,2010/11/9 20:04
Case2.7,d,2010/11/9 20:05
Case2.7,e,2010/11/9 20:06
Case2.7,g,2010/11/9 20:07
247,a,2010/11/9 20:03
247,c,2010/11/9 20:04
247,d,2010/11/9 20:05
247,e,2010/11/9 20:06
247,h,2010/11/9 20:07
Case2.8,a,2010/11/9 20:03
Case2.8,b,2010/11/9 20:04
Case2.8,d,2010/11/9 20:05
Case2.8,e,2010/11/9 20:06
Case2.8,g,2010/11/9 20:07
244,a,2010/11/9 20:03
244,c,2010/11/9 20:04
244,d,2010/11/9 20:05
244,e,2010/11/9 20:06
244,h,2010/11/9 20:07
Case2.5,a,2010/11/9 20:03
Case2.5,b,2010/11/9 20:04
Case2.5,d,2010/11/9 20:05
Case2.5,e,2010/11/9 20:06
Case2.5,g,2010/11/9 20:07
245,a,2010/11/9 20:03
245,c,2010/11/9 20:04
245,d,2010/11/9 20:05
245,e,2010/11/9 20:06
245,h,2010/11/9 20:07
Case2.6,a,2010/11/9 20:03
Case2.6,b,2010/11/9 20:04
Case2.6,d,2010/11/9 20:05
Case2.6,e,2010/11/9 20:06
Case2.6,g,2010/11/9 20:07
Case2.3,a,2010/11/9 20:03
Case2.3,b,2010/11/9 20:04
Case2.3,d,2010/11/9 20:05
Case2.3,e,2010/11/9 20:06
Case2.3,g,2010/11/9 20:07
Case2.4,a,2010/11/9 20:03
Case2.4,b,2010/11/9 20:04
Case2.4,d,2010/11/9 20:05
Case2.4,e,2010/11/9 20:06
Case2.4,g,2010/11/9 20:07
248,a,2010/11/9 20:03
248,c,2010/11/9 20:04
248,d,2010/11/9 20:05
248,e,2010/11/9 20:06
248,h,2010/11/9 20:07
Case2.1,a,2010/11/9 20:03
Case2.1,b,2010/11/9 20:04
Case2.1,d,2010/11/9 20:05
Case2.1,e,2010/11/9 20:06
Case2.1,g,2010/11/9 20:07
249,a,2010/11/9 20:03
249,c,2010/11/9 20:04
249,d,2010/11/9 20:05
249,e,2010/11/9 20:06
249,h,2010/11/9 20:07
Case2.2,a,2010/11/9 20:03
Case2.2,b,2010/11/9 20:04
Case2.2,d,2010/11/9 20:05
Case2.2,e,2010/11/9 20:06
Case2.2,g,2010/11/9 20:07
445,a,2010/11/9 20:03
445,c,2010/11/9 20:04
445,d,2010/11/9 20:05
445,e,2010/11/9 20:06
445,h,2010/11/9 20:07
444,a,2010/11/9 20:03
444,c,2010/11/9 20:04
444,d,2010/11/9 20:05
444,e,2010/11/9 20:06
444,h,2010/11/9 20:07
443,a,2010/11/9 20:03
443,c,2010/11/9 20:04
443,d,2010/11/9 20:05
443,e,2010/11/9 20:06
443,h,2010/11/9 20:07
442,a,2010/11/9 20:03
442,c,2010/11/9 20:04
442,d,2010/11/9 20:05
442,e,2010/11/9 20:06
442,h,2010/11/9 20:07
449,a,2010/11/9 20:03
449,c,2010/11/9 20:04
449,d,2010/11/9 20:05
449,e,2010/11/9 20:06
449,h,2010/11/9 20:07
448,a,2010/11/9 20:03
448,c,2010/11/9 20:04
448,d,2010/11/9 20:05
448,e,2010/11/9 20:06
448,h,2010/11/9 20:07
447,a,2010/11/9 20:03
447,c,2010/11/9 20:04
447,d,2010/11/9 20:05
447,e,2010/11/9 20:06
447,h,2010/11/9 20:07
Case2.188,a,2010/11/9 20:03
Case2.188,b,2010/11/9 20:04
Case2.188,d,2010/11/9 20:05
Case2.188,e,2010/11/9 20:06
Case2.188,g,2010/11/9 20:07
446,a,2010/11/9 20:03
446,c,2010/11/9 20:04
446,d,2010/11/9 20:05
446,e,2010/11/9 20:06
446,h,2010/11/9 20:07
Case2.9,a,2010/11/9 20:03
Case2.9,b,2010/11/9 20:04
Case2.9,d,2010/11/9 20:05
Case2.9,e,2010/11/9 20:06
Case2.9,g,2010/11/9 20:07
Case2.189,a,2010/11/9 20:03
Case2.189,b,2010/11/9 20:04
Case2.189,d,2010/11/9 20:05
Case2.189,e,2010/11/9 20:06
Case2.189,g,2010/11/9 20:07
Case2.186,a,2010/11/9 20:03
Case2.186,b,2010/11/9 20:04
Case2.186,d,2010/11/9 20:05
Case2.186,e,2010/11/9 20:06
Case2.186,g,2010/11/9 20:07
Case2.187,a,2010/11/9 20:03
Case2.187,b,2010/11/9 20:04
Case2.187,d,2010/11/9 20:05
